node_id,lat,lon
Hunt,35.769835733503236,-78.67597902055724
N1,35.7698662012544,-78.67597902055724
N2,35.76988361139269,-78.67597499724364
N3,35.769919519790854,-78.67596695061647
N4,35.769939106183,-78.67595353957117
N5,35.769954340040236,-78.67594012852587
N6,35.76997827895287,-78.67593208189868
N7,35.769995689066604,-78.6759146475398
N8,35.77001418730828,-78.67589318986731
N9,35.77003268554565,-78.675879778822
N10,35.77005444817234,-78.67586636777669
N11,35.77007077013845,-78.67584759231327
N12,35.77009144462408,-78.67583149905892
N13,35.770105590321656,-78.67581942911814
N14,35.77012300040751,-78.67580735917736
N15,35.77014367487955,-78.67578992481847
N16,35.770159996827346,-78.67577517266864
N17,35.77018284754863,-78.6757604205188
N18,35.77019808135918,-78.67574566836898
N19,35.77022202019843,-78.6757295751146
N20,35.7702416065161,-78.67571884627836
N21,35.77025466405855,-78.67570409412853
N22,35.770276426624505,-78.67568665976962
N23,35.7702981891845,-78.6756719076198
N24,35.770312334845286,-78.67565715546996
N25,35.77033300926809,-78.6756410622156
N26,35.77035150743132,-78.67562496896124
N27,35.77036782933647,-78.67561155791593
N28,35.770392856251185,-78.67560217018422
N29,35.770408090021505,-78.67558473582534
N30,35.77042550004118,-78.67556998367549
N31,35.77044943881195,-78.6755565726302
N32,35.770465760697,-78.67554047937583
N33,35.77047990632801,-78.67552304501693
N34,35.770496228206795,-78.67551097507616
N35,35.77052234320591,-78.67549354071727
N36,35.770538665075996,-78.67548549409008
N37,35.770562603813346,-78.67546269531267
N38,35.770577837551144,-78.67545196647643
N39,35.770593071286044,-78.67543184990848
N40,35.77061265751232,-78.67541843886316
N41,35.77063333185706,-78.67540234560882
N42,35.77064856558133,-78.67538759345896
N43,35.77066815179394,-78.67536881799555
N44,35.77066815179394,-78.67536881799555
N45,35.77069137807973,-78.67535930323346
N46,35.77070824987072,-78.67534924143422
N47,35.77072512165813,-78.67533448412864
N48,35.770758307952484,-78.67530701384429
N49,35.77078170539107,-78.67529024801078
N50,35.770803954974326,-78.675274850705
N51,35.77080994231324,-78.67526277537122
N52,35.770836105998,-78.6752480081716
N53,35.77084426915578,-78.6752352641589
Fits,35.77086024741607,-78.6752274694188
N55,35.77087337907889,-78.67521128468611
N56,35.7708945917604,-78.67520381480948
N57,35.770913784181644,-78.67518140517959
N58,35.77093701712154,-78.67517144535444
N59,35.77094913864481,-78.67514779074511
N60,35.770965300672984,-78.67514156584791
N61,35.77098853358273,-78.67512413613578
N62,35.7710077259813,-78.6751179112386
N63,35.77102893862698,-78.67509301164984
N64,35.77103600950761,-78.67507682691713
