timestamp,image_name,swift_latitude,swift_longitude,swift_heading,zed_x,zed_y,zed_yaw,gps_latitude,gps_longitude,gps_track
2024-08-16-08:47:18,2024-08-16-08:47:18.jpg,35.77116546470304,-78.67390296617376,258.89238229075534,2.474186264691532,-3.4006576880800554,-1.0291714243599306,35.7712,-78.67393616666666,nan
2024-08-16-08:47:20,2024-08-16-08:47:20.jpg,35.77117166118454,-78.67393363291498,284.6964009749023,1.7819506863873453,-5.512692369388489,-0.14785598519111234,35.771198,-78.67396166666667,309.25
2024-08-16-08:47:22,2024-08-16-08:47:22.jpg,35.771184903696664,-78.67396285036259,300.5623546144856,0.31645243892625696,-7.465359771369255,0.16391353656103796,35.77120333333333,-78.67400516666666,296.32000732421875
2024-08-16-08:47:24,2024-08-16-08:47:24.jpg,35.771195973002776,-78.67398752683154,297.34884351667904,-1.262752539802825,-9.534373665810913,-1.158776203356656,35.771213833333334,-78.67401683333333,297.7099914550781
2024-08-16-08:47:26,2024-08-16-08:47:26.jpg,35.771207247926164,-78.67401501282285,308.7098357400161,-2.7185841485569746,-11.447400647041615,1.1637018002243973,35.77122433333333,-78.67403399999999,299.4200134277344
2024-08-16-08:47:28,2024-08-16-08:47:28.jpg,35.77121878888996,-78.67404049384852,297.79804811385605,-4.542092053795147,-13.681216938167443,-0.8735960267460526,35.771235833333336,-78.67405616666666,298.7200012207031
2024-08-16-08:47:30,2024-08-16-08:47:30.jpg,35.771230711659875,-78.67406872703205,296.07535558394875,-6.188345748050193,-16.054704381401823,-1.239600338127764,35.7712465,-78.6740795,296.3699951171875
2024-08-16-08:47:32,2024-08-16-08:47:32.jpg,35.7712452705501,-78.67409854048043,302.3998401739193,-7.976443348521127,-18.174149346415305,-0.049025861301891877,35.771256666666666,-78.67409983333333,300.3500061035156
2024-08-16-08:47:34,2024-08-16-08:47:34.jpg,35.77126053106853,-78.67413008050673,304.57190909199784,-10.098917736068001,-20.41798157791065,-1.0061262998844396,35.771268166666665,-78.674129,300.5199890136719
2024-08-16-08:47:36,2024-08-16-08:47:36.jpg,35.77127943275082,-78.67416267006783,305.318746906096,-12.373918589371051,-22.751232022651386,-0.45521437420371996,35.77128233333334,-78.67415550000001,304.9700012207031
2024-08-16-08:47:38,2024-08-16-08:47:38.jpg,35.77129377239252,-78.67418159247607,304.56317191985767,-14.816071763936915,-25.294711696732215,-1.0134529881682248,35.771295,-78.67417999999999,304.7099914550781
2024-08-16-08:47:40,2024-08-16-08:47:40.jpg,35.77130865324917,-78.67421030846857,298.94392340060153,-16.887854036373138,-27.786457206984622,0.20557221248145138,35.77130666666667,-78.67420483333333,303.8599853515625
2024-08-16-08:47:42,2024-08-16-08:47:42.jpg,35.77132180931614,-78.67423807820137,298.73979529168804,-18.269723945545266,-29.780766889045772,1.403699920930824,35.77131766666666,-78.67423166666667,300.3599853515625
2024-08-16-08:47:44,2024-08-16-08:47:44.jpg,35.77133352613834,-78.67426545450554,302.363955251006,-20.001590694301875,-31.98434721958028,-1.2211758226291896,35.77132766666667,-78.67425816666668,298.239990234375
2024-08-16-08:47:46,2024-08-16-08:47:46.jpg,35.771348435061874,-78.67428913036605,303.74802008158406,-22.26290384497814,-34.1556980709462,-0.3684202402165837,35.771340333333335,-78.67428366666667,303.6199951171875
2024-08-16-08:47:48,2024-08-16-08:47:48.jpg,35.771362840744416,-78.67431601983114,299.4743312484403,-24.161355648168783,-36.334080443575914,0.36876741321333695,35.77135366666666,-78.67430916666667,302.9599914550781
2024-08-16-08:47:51,2024-08-16-08:47:51.jpg,35.771377810000885,-78.67434627952848,300.22322084718826,-26.288716105957704,-38.855600440537046,2.342541946995884,35.7713725,-78.67434783333333,300.79998779296875
2024-08-16-08:47:53,2024-08-16-08:47:53.jpg,35.771393888466015,-78.6743790225049,300.8237035733872,-28.438103181496494,-41.274667436600495,1.7871737873886382,35.7713865,-78.6743775,299.69000244140625
2024-08-16-08:47:55,2024-08-16-08:47:55.jpg,35.771405452616285,-78.67440802385458,299.28142706105905,-30.19310257341906,-43.51567544106897,0.5936285728519842,35.77139783333334,-78.67440383333333,298.57000732421875
2024-08-16-08:47:57,2024-08-16-08:47:57.jpg,35.7714191304267,-78.67443825678593,291.8268215690349,-31.85898474765343,-45.90220133197445,2.5018543774778976,35.771409,-78.67443216666668,296.45001220703125
2024-08-16-08:47:59,2024-08-16-08:47:59.jpg,35.771428229374294,-78.6744583407003,311.305617946923,-33.05924478624357,-47.54860914338022,-2.960240476512846,35.77141733333334,-78.674453,298.8900146484375
2024-08-16-08:48:01,2024-08-16-08:48:01.jpg,35.77144375954023,-78.67448315435576,297.7446713691367,-35.15483527737675,-49.57852969282248,2.84730544468599,35.771430333333335,-78.67447833333334,302.6600036621094
2024-08-16-08:48:03,2024-08-16-08:48:03.jpg,35.77145801811974,-78.67451723704863,297.23140013851736,-37.2771062084824,-52.39334069397264,-0.7214692795398064,35.771443833333336,-78.67450983333333,298.1700134277344
2024-08-16-08:48:05,2024-08-16-08:48:05.jpg,35.77147434866745,-78.6745507092198,301.4602639715002,-39.52221750685233,-55.144808551874455,0.3818071934111277,35.771458,-78.6745415,300.1499938964844
2024-08-16-08:48:07,2024-08-16-08:48:07.jpg,35.77148605427612,-78.67457411033729,300.4777220381053,-41.09303397804059,-57.00501132521749,0.9947057075242908,35.771471,-78.67456716666668,302.3900146484375
2024-08-16-08:48:09,2024-08-16-08:48:09.jpg,35.77149858415081,-78.67459901189893,299.43296243618386,-42.655232077970304,-58.90603617915609,0.995017309451882,35.77148183333334,-78.67458933333334,301.80999755859375
2024-08-16-08:48:11,2024-08-16-08:48:11.jpg,35.77151062019888,-78.67461911234872,304.01285723493953,-44.29902819017642,-60.8871044854382,0.5952707386488848,35.77149383333334,-78.67461216666668,302.25
2024-08-16-08:48:13,2024-08-16-08:48:13.jpg,35.77152344642621,-78.67464149522921,296.3854411713309,-45.96828760439768,-62.8126903426907,0.9321405372094558,35.771504166666666,-78.67463566666667,300.0
2024-08-16-08:48:15,2024-08-16-08:48:15.jpg,35.77153448744948,-78.67466608454576,300.11608661144635,-47.404355014704926,-64.69438556133065,1.996960922513851,35.771514333333336,-78.6746605,298.760009765625
2024-08-16-08:48:17,2024-08-16-08:48:17.jpg,35.771538367350594,-78.674687652472,266.0800783152997,-48.177465798923606,-66.49884398249485,0.793778705231837,35.77152416666667,-78.67468333333333,297.6000061035156
2024-08-16-08:48:19,2024-08-16-08:48:19.jpg,35.77152577451438,-78.67470490876457,216.77841962961938,-47.31804374806,-68.25976212599102,-0.271722699301839,35.771520499999994,-78.67470483333334,276.05999755859375
2024-08-16-08:48:22,2024-08-16-08:48:22.jpg,35.77150549560784,-78.67472702408269,211.84556847442627,-45.31252213878845,-70.56789003934294,-0.04865225065928972,35.77149716666667,-78.67474333333332,nan
2024-08-16-08:48:24,2024-08-16-08:48:24.jpg,35.77148319768337,-78.67474226977986,205.62711519031785,-43.122433978076316,-72.32199224991928,0.8701069286024896,35.77147316666667,-78.6747475,nan
2024-08-16-08:48:26,2024-08-16-08:48:26.jpg,35.77146065575267,-78.67475605946069,203.03504448918528,-40.761592843835885,-74.00702832605903,-1.52347260450379,35.771451166666665,-78.67475933333334,217.1300048828125
2024-08-16-08:48:28,2024-08-16-08:48:28.jpg,35.771439797141255,-78.67477636991907,212.12420992657016,-38.649272215054516,-75.83930507298851,-2.0653670764974192,35.77143433333333,-78.67477716666667,214.66000366210938
2024-08-16-08:48:30,2024-08-16-08:48:30.jpg,35.771413412654255,-78.67479017956427,222.29038983662602,-36.36826317113112,-77.92174308065968,-2.3866060403876093,35.7714105,-78.67478533333333,nan
2024-08-16-08:48:32,2024-08-16-08:48:32.jpg,35.771391201249195,-78.67480598498716,211.06906464672616,-34.35279544361105,-79.93092222095706,-0.94067762846852,35.77138816666666,-78.67479483333334,nan
2024-08-16-08:48:34,2024-08-16-08:48:34.jpg,35.77137355619787,-78.67481832966618,218.17075569680193,-32.59869838912529,-81.42612640086769,-2.0052978465653712,35.77137466666667,-78.67479966666666,nan
2024-08-16-08:48:36,2024-08-16-08:48:36.jpg,35.77135697845118,-78.674840771521,212.6095724311913,-30.797528136339356,-83.21837752797978,-4.5786776948250685,35.7713595,-78.67481266666667,nan
2024-08-16-08:48:38,2024-08-16-08:48:38.jpg,35.771331246655315,-78.67485950843506,210.24157907052873,-28.23005133621659,-85.38099168361711,-1.699195869540237,35.771334833333334,-78.67482700000001,211.6999969482422
