










3546.30832,-7840.46724,,1711744525.4540725
3546.30836,-7840.4672,,1711744527.05403
3546.3084,-7840.46715,,1711744528.5540807
3546.30837,-7840.46714,,1711744530.1540642
3546.30835,-7840.46704,,1711744531.754143
3546.30824,-7840.4668,,1711744533.354186
3546.30797,-7840.46658,,1711744534.954185
3546.3077,-7840.46641,,1711744536.55425
3546.30746,-7840.46621,,1711744538.1544404
3546.3071,-7840.46603,,1711744539.7542365
3546.30626,-7840.46574,145.78,1711744541.3542151
3546.30537,-7840.46562,165.28,1711744542.9543061
3546.30462,-7840.46575,178.13,1711744544.554413
3546.30405,-7840.46583,,1711744546.1541886
3546.30356,-7840.46573,,1711744547.754217
3546.30289,-7840.46578,,1711744549.3542495
3546.30254,-7840.46635,215.64,1711744550.9541786
3546.30228,-7840.46754,246.80,1711744552.5530186
3546.30199,-7840.46881,246.65,1711744554.1542509
3546.30155,-7840.46983,243.90,1711744555.7544565
3546.29743,-7840.47595,,1711744558.4539704
3546.29745,-7840.47581,,1711744560.2541547
3546.29691,-7840.47623,212.06,1711744562.0541067
3546.29635,-7840.47671,215.74,1711744563.8541338
3546.29576,-7840.47711,209.13,1711744565.6541615
3546.2951,-7840.47715,194.47,1711744567.454156
3546.29451,-7840.47701,180.42,1711744569.2540774
3546.29396,-7840.4769,174.57,1711744571.0541205
3546.29341,-7840.47665,160.46,1711744572.8531733
3546.2929,-7840.47617,149.75,1711744574.6540823
3546.29241,-7840.47559,142.21,1711744576.4541512
3546.29202,-7840.47528,144.32,1711744578.2545023
3546.29169,-7840.47519,138.53,1711744580.0542078
3546.29135,-7840.47476,134.40,1711744581.8541615
3546.29098,-7840.47437,136.70,1711744583.6541793
3546.29067,-7840.47402,133.36,1711744585.45414
3546.28592,-7840.46644,123.93,1711744587.6541765
3546.28551,-7840.46586,126.56,1711744589.4541175
3546.28512,-7840.46518,122.87,1711744591.2541714
3546.28465,-7840.46442,125.60,1711744593.0543056
3546.28422,-7840.46363,124.01,1711744594.8541212
3546.28381,-7840.4629,123.36,1711744596.6541183
3546.28339,-7840.46217,124.10,1711744598.4544556
3546.28302,-7840.4615,123.43,1711744600.2541473
3546.28268,-7840.4608,120.24,1711744602.054135
3546.28229,-7840.46003,122.09,1711744603.8544044
3546.28179,-7840.45918,123.59,1711744605.6543455
3546.28137,-7840.45851,125.18,1711744607.4544013
3546.28106,-7840.45805,126.53,1711744609.2544982
3546.28083,-7840.45775,128.12,1711744611.0540116
3546.28062,-7840.45752,129.32,1711744612.8535323
3546.27879,-7840.45559,138.72,1711744613.854535
3546.27862,-7840.45542,140.16,1711744617.0544562
3546.27849,-7840.45529,139.80,1711744618.8546941
3546.27835,-7840.45515,,1711744620.653558
3546.27819,-7840.45501,143.38,1711744622.4539776
3546.27808,-7840.4549,,1711744624.2542987
3546.27802,-7840.45482,,1711744626.0542297
3546.27798,-7840.4548,,1711744627.85426
3546.27787,-7840.45469,,1711744629.6540847
3546.27774,-7840.45457,,1711744631.4540699
3546.27768,-7840.45451,,1711744633.2540863
3546.27767,-7840.45446,,1711744635.0542448
3546.27761,-7840.45434,,1711744636.8542337
3546.27765,-7840.45412,,1711744638.6542313
3546.27637,-7840.45134,123.23,1711744641.8539634
3546.27623,-7840.45109,124.95,1711744643.6539342
3546.27608,-7840.45079,124.56,1711744645.454141
3546.27595,-7840.45057,126.79,1711744647.2540655
3546.27582,-7840.45039,,1711744649.0540433
3546.27574,-7840.45028,,1711744650.854047
3546.27565,-7840.45013,,1711744652.6540098
3546.27555,-7840.45002,,1711744654.453992
3546.27547,-7840.44996,,1711744656.2540047
3546.27539,-7840.44992,,1711744658.0539553
3546.27531,-7840.44983,,1711744659.8540304
3546.27523,-7840.44971,,1711744661.6539538
3546.27523,-7840.44972,,1711744663.4540036
3546.27522,-7840.44968,,1711744665.2539942
3546.27529,-7840.4498,,1711744667.0539556
3546.27389,-7840.44733,,1711744669.4540942
3546.27377,-7840.44713,124.28,1711744671.254095
3546.27366,-7840.44687,,1711744673.0539792
3546.27361,-7840.44663,,1711744674.854037
3546.27349,-7840.44636,119.75,1711744676.6541288
3546.27339,-7840.44613,117.27,1711744678.4541588
3546.27332,-7840.44606,120.56,1711744680.2541358
3546.27321,-7840.44581,119.92,1711744682.0540602
3546.2731,-7840.44557,119.59,1711744683.854152
3546.27298,-7840.44529,119.79,1711744685.6541467
3546.27281,-7840.44493,119.57,1711744687.4540854
3546.27266,-7840.44458,119.80,1711744689.2541237
3546.27248,-7840.44421,122.02,1711744691.0541713
3546.27229,-7840.44388,124.25,1711744692.8541088
3546.27212,-7840.44364,125.49,1711744694.6542175
3546.27103,-7840.44139,,1711744697.8540545
3546.27106,-7840.4413,,1711744699.6541557
3546.27106,-7840.44122,,1711744701.454004
3546.27111,-7840.44117,,1711744703.2539952
3546.27114,-7840.4411,,1711744705.0540662
3546.27118,-7840.44104,,1711744706.8540018
3546.27121,-7840.44098,,1711744708.6540718
3546.27121,-7840.44092,,1711744710.4539852
3546.27122,-7840.44085,,1711744712.253973
3546.27125,-7840.44077,,1711744714.0539804
3546.27126,-7840.44071,,1711744715.8539753
3546.27124,-7840.44062,,1711744717.6540365
3546.27126,-7840.44056,,1711744719.4539654
3546.27128,-7840.44051,,1711744721.2540352
3546.27129,-7840.44043,,1711744723.054031
