timestamp,rtk_lat,rtk_lon,rtk_alt,rtk_heading,rtk_sats,image_file,lidar_file
1749402206.634954005,35.77142636099037,-78.67278158845549,76.05135483192673,0.0,15,/home/wolfwagen/ext-vol/ww_data_collection/images/image_1749402206_634954005.jpg,/home/wolfwagen/ext-vol/ww_data_collection/lidar/lidar_1749402206_634954005.pcd
1749402206.755521136,35.771426390659705,-78.67278157861348,76.04454530576771,0.0,15,/home/wolfwagen/ext-vol/ww_data_collection/images/image_1749402206_755521136.jpg,/home/wolfwagen/ext-vol/ww_data_collection/lidar/lidar_1749402206_755521136.pcd
1749402206.856581809,35.77142645378182,-78.67278163122755,76.01633244737643,0.0,15,/home/wolfwagen/ext-vol/ww_data_collection/images/image_1749402206_856581809.jpg,/home/wolfwagen/ext-vol/ww_data_collection/lidar/lidar_1749402206_856581809.pcd
1749402206.982366942,35.77142647603424,-78.67278166019403,75.99666182259234,0.0,15,/home/wolfwagen/ext-vol/ww_data_collection/images/image_1749402206_982366942.jpg,/home/wolfwagen/ext-vol/ww_data_collection/lidar/lidar_1749402206_982366942.pcd
1749402207.82499766,35.77142649525909,-78.67278165988861,75.99281612956133,0.0,15,/home/wolfwagen/ext-vol/ww_data_collection/images/image_1749402207_82499766.jpg,/home/wolfwagen/ext-vol/ww_data_collection/lidar/lidar_1749402207_82499766.pcd
1749402207.183279957,35.77142652269442,-78.67278166237443,75.98507124578204,0.0,15,/home/wolfwagen/ext-vol/ww_data_collection/images/image_1749402207_183279957.jpg,/home/wolfwagen/ext-vol/ww_data_collection/lidar/lidar_1749402207_183279957.pcd
1749402207.294955995,35.77142656613635,-78.67278165449171,75.97678241406372,0.0,15,/home/wolfwagen/ext-vol/ww_data_collection/images/image_1749402207_294955995.jpg,/home/wolfwagen/ext-vol/ww_data_collection/lidar/lidar_1749402207_294955995.pcd
1749402207.394967187,35.771426565391536,-78.67278163854895,75.96509407107763,0.0,15,/home/wolfwagen/ext-vol/ww_data_collection/images/image_1749402207_394967187.jpg,/home/wolfwagen/ext-vol/ww_data_collection/lidar/lidar_1749402207_394967187.pcd
1749402207.494993258,35.77142657023528,-78.67278166847203,75.95688659437023,0.0,15,/home/wolfwagen/ext-vol/ww_data_collection/images/image_1749402207_494993258.jpg,/home/wolfwagen/ext-vol/ww_data_collection/lidar/lidar_1749402207_494993258.pcd
1749402207.614976608,35.77142658417651,-78.6727816069207,75.9251960032929,0.0,15,/home/wolfwagen/ext-vol/ww_data_collection/images/image_1749402207_614976608.jpg,/home/wolfwagen/ext-vol/ww_data_collection/lidar/lidar_1749402207_614976608.pcd
