node_id,x_m,y_m,lat,lon
N106,147.382220,210.189975,35.77172390,-78.67434727
N107,149.743636,209.965084,35.77172188,-78.67432112
N108,151.880155,209.740192,35.77171986,-78.67429747
N109,154.354020,208.728181,35.77171077,-78.67427008
N110,159.189301,208.165952,35.77170572,-78.67421655
N111,161.213372,205.804591,35.77168451,-78.67419414
N112,163.912133,205.467254,35.77168148,-78.67416426
N113,165.598859,204.005459,35.77166835,-78.67414558
N114,165.598859,204.005459,35.77166835,-78.67414558
EB2,170.996381,203.218338,35.77166127,-78.67408582
N116,172.093177,199.700629,35.77162967,-78.67407368
N117,173.407308,197.908672,35.77161358,-78.67405913
N118,175.318771,197.072426,35.77160607,-78.67403797
N119,178.185966,195.997251,35.77159641,-78.67400622
N120,179.858496,194.324758,35.77158138,-78.67398771
N121,181.053161,193.130120,35.77157065,-78.67397448
N122,183.681423,191.338162,35.77155455,-78.67394538
N123,184.756621,189.665667,35.77153953,-78.67393348
N124,186.309685,187.037461,35.77151592,-78.67391628
N125,187.982215,185.245502,35.77149982,-78.67389776
N126,188.818480,183.573007,35.77148480,-78.67388850
N127,190.132611,180.944799,35.77146119,-78.67387396
N128,190.849410,178.316590,35.77143758,-78.67386602
N129,191.327276,176.285702,35.77141933,-78.67386073
N130,191.566209,173.896420,35.77139787,-78.67385808
N131,191.566209,171.626601,35.77137748,-78.67385808
N132,191.566209,168.520533,35.77134958,-78.67385808
N133,191.088343,166.489642,35.77133134,-78.67386337
N134,190.968877,164.458751,35.77131309,-78.67386470
N135,190.849410,162.308394,35.77129377,-78.67386602
N136,189.774212,159.321787,35.77126695,-78.67387792
N137,189.057413,156.454643,35.77124119,-78.67388586
N138,187.862749,154.782142,35.77122617,-78.67389909
N139,186.907017,152.870712,35.77120899,-78.67390967
N140,185.831819,150.600889,35.77118860,-78.67392157
EB3,184.159289,148.092136,35.77116607,-78.67394009
N142,183.442490,146.180704,35.77114890,-78.67394803
N143,180.216896,145.105524,35.77113924,-78.67398374
N144,178.783298,143.433021,35.77112421,-78.67399961
N145,176.991301,141.760517,35.77110919,-78.67401945
N146,177.230234,138.176581,35.77107699,-78.67401680
N147,175.557704,136.265147,35.77105982,-78.67403532
N148,173.885173,134.114784,35.77104051,-78.67405384
N149,172.809975,131.725491,35.77101904,-78.67406574
N150,172.093177,130.769773,35.77101046,-78.67407368
N151,170.420646,128.499944,35.77099007,-78.67409220
N152,168.867582,125.632790,35.77096431,-78.67410939
N153,167.195052,124.318678,35.77095251,-78.67412791
N154,166.358787,121.809917,35.77092997,-78.67413717
N155,165.164122,119.659550,35.77091065,-78.67415040
N156,162.774793,117.867578,35.77089456,-78.67417685
N157,162.296927,116.314534,35.77088060,-78.67418214
