timestamp,latitude,longitude,heading,current_x,current_y,x_goal,y_goal,lookahead_x,lookahead_y,yaw
1720100969.4196239,35.771097015114684,-78.6739724912559,147.14100063397092,7.098802230657357,33.7349238991872,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100969.5193586,35.77109699323245,-78.6739725732971,147.14100063397092,7.100501946520496,33.73801047076509,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100969.619642,35.77109693870318,-78.67397256792799,147.14100063397092,7.097154300800207,33.745061826843965,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100969.7197359,35.771096931250426,-78.67397260146828,147.14100063397092,7.101875977404397,33.7488759296985,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100969.819675,35.7710968679428,-78.67397262356425,147.14100063397092,7.100387243232273,33.75164459890309,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100969.9196255,35.771096798365356,-78.67397269430157,147.14100063397092,7.104105114517302,33.7579302947415,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100970.0196943,35.771096706281625,-78.67397266055072,147.14100063397092,7.105298811275766,33.76788446883546,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100970.119836,35.77109664120519,-78.67397264545588,147.14100063397092,7.114809262891514,33.772706805439064,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100970.219705,35.771096507752816,-78.67397262030732,147.14100063397092,7.120985124831599,33.77668901216655,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100970.3196852,35.771096293011595,-78.67397255122629,147.14100063397092,7.133288437515454,33.78523606660116,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100970.4195964,35.7710960897589,-78.67397248127676,147.14100063397092,7.154867613368576,33.79711308640249,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
1720100970.5197566,35.771095974922446,-78.67397249028579,147.14100063397092,7.175576509545079,33.80805540807375,0.0,0.0,19.266272369817568,96.47117391612777,17.14100063397092
